"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000130346",69.7758788202536,-1.02868060873275,0.33210228052407,-3.09748131542321,0.0019517269942724,0.166688128418311
"Brpf1",654.609800455817,-0.280643825535699,0.0908188342487384,-3.09015005375493,0.00200055397296702,0.167072708938727
"Dvl3",964.204513652346,-0.279082348802478,0.0903474326097622,-3.08899036465063,0.00200837952531909,0.167072708938727
"Braf",1760.04748071809,-0.288387083691749,0.0940072238496027,-3.06771194683,0.00215704434176259,0.167301982517364
"Srpk1",1052.64657563372,-0.210801017913019,0.0683474883249186,-3.08425405350505,0.00204063256070399,0.167301982517364
"Khsrp",1765.0287469159,-0.374299903843127,0.12256502876532,-3.05388827150536,0.00225896194017962,0.167301982517364
"Zc3h18",748.498655701947,-0.24880130461261,0.0812651055141426,-3.06160070842843,0.00220156918103462,0.167301982517364
"Eci2",1409.26394228247,0.248950977252288,0.0810590482037639,3.07122995851718,0.00213178898523313,0.167301982517364
"Zfpm2",297.951509309796,-0.518295758691032,0.169438774053376,-3.05889700622929,0.00222153510379774,0.167301982517364
"Zc3h7b",8365.31962097734,0.224197956200073,0.0731573171896231,3.06460057329542,0.00217960876536809,0.167301982517364
"Chd1",448.324417270988,-0.23613193549113,0.0771702738713009,-3.05988204583715,0.00221424178496464,0.167301982517364
"Rftn2",1250.25180794237,0.241452494421357,0.0790595860859037,3.05405715328439,0.00225769064916509,0.167301982517364
"Tfpi",179.341241288055,0.372951072394319,0.121775827860073,3.06260346530231,0.00219420606834765,0.167301982517364
"Ctso",1500.0522258911,0.306479382609773,0.0993778779624042,3.08397994497042,0.00204251363675609,0.167301982517364
"Myo6",3726.4174976103,0.209403277935173,0.0680879107291673,3.0754839690722,0.00210161225881165,0.167301982517364
"Art3",73.6617888698772,0.378988467469901,0.123812043839223,3.06099839497068,0.00220600276955114,0.167301982517364
"Trappc14",1234.67196037535,-0.224102141808295,0.0733764446439438,-3.05414282329625,0.00225704600182737,0.167301982517364
"Iars1",814.119307839975,-0.296494926765841,0.09692679678197,-3.05895723999613,0.00222108849659759,0.167301982517364
"Ncapd2",403.446144262718,-0.244204810143304,0.0798377886713749,-3.05876220029702,0.00222253492940112,0.167301982517364
"Adgrl4",721.882848848896,0.521931106470763,0.169627048741326,3.07693325058484,0.0020914212801244,0.167301982517364
"Cep104",949.416774559668,-0.156416120658309,0.0510319742239091,-3.06506113151755,0.00217625509987491,0.167301982517364
"Hectd2",284.544010310828,-0.471523367878837,0.15421575896732,-3.0575563161399,0.00223149706410072,0.167301982517364
"Asxl1",831.159847609683,-0.304275777221158,0.099522018252812,-3.05737144968481,0.00223287391600112,0.167301982517364
"A730035I17Rik",146.165242531326,-0.873513624393048,0.286125127959079,-3.05290776320064,0.00226635587740144,0.167301982517364
"Npas4",200.990580750932,-0.791340729744308,0.256990039193932,-3.07926615454204,0.00207511205699775,0.167301982517364
"Mars2",575.887883251351,-0.166243337952462,0.0542155365025452,-3.06634128659149,0.0021669581742241,0.167301982517364
"Zfp341",177.713611168299,-0.36594865305062,0.119021394849907,-3.07464597866713,0.00210752555406573,0.167301982517364
"ENSMUSG00000124059",25.6020428381204,0.720724846534517,0.233708106457247,3.08386755367582,0.00204328538436826,0.167301982517364
"Tlcd1",790.37095236655,0.283570534656831,0.0931312893177606,3.04484708344688,0.00232798641594009,0.169724143977486
"Ypel4",911.257326301642,-0.253991854511984,0.0834249141962066,-3.04455637694301,0.00233023751494596,0.169724143977486
"Lcat",856.112260751076,0.261792880212904,0.0859732742907615,3.0450495502535,0.00232641978174938,0.169724143977486
"Rin2",1255.58848460505,0.258542209937494,0.0850757413286788,3.03896511390539,0.00237392342680523,0.172132308100655
"Trim62",497.925284247916,-0.2583066661326,0.0850350344916262,-3.03764992484406,0.00238430766041303,0.172132308100655
"Ahi1",3646.30987399463,-0.357795887159315,0.119124285816938,-3.00355116259964,0.00266848677327959,0.17521903822518
"Kif21a",3137.09806113599,-0.268344390217555,0.0893562123557882,-3.00308599864431,0.00267256897878266,0.17521903822518
"Epc1",669.017780380226,-0.158882121033109,0.0528139210443455,-3.00833791340171,0.00262680882514873,0.17521903822518
"Maoa",916.844800548257,0.191650187642464,0.0636501927476421,3.01099147338502,0.00260396164653321,0.17521903822518
"Tor1aip1",1421.33449134813,0.152771891661577,0.0505370652745841,3.02296721884262,0.0025030935642372,0.17521903822518
"Cth",139.071517193622,0.345115833454513,0.11483038489802,3.00544001277196,0.00265196900741221,0.17521903822518
"Tmem222",1797.75654928422,0.180091378270889,0.0594528769373762,3.02914488832198,0.00245247034390425,0.17521903822518
"Anxa3",815.75131653969,0.318571804472721,0.106296273491471,2.99701761885644,0.00272634955808094,0.17521903822518
"Tbxas1",123.061537293117,0.329747178571955,0.110041135277992,2.99658103071119,0.00273025666001389,0.17521903822518
"Fus",3309.72446378153,-0.289769670851367,0.0965393524294968,-3.0015704845647,0.00268590851089695,0.17521903822518
"Scrg1",757.328923954542,0.375772203045616,0.12462267671717,3.01527950565874,0.00256742538160314,0.17521903822518
"Fam219b",614.95362905075,0.165694617309224,0.0552400568242903,2.99953741605067,0.00270389911334557,0.17521903822518
"Unc13a",4942.07448758526,-0.320440310953041,0.106422697722565,-3.0110147347364,0.00260376217185057,0.17521903822518
